product_id,product_name,category,brand,total_quantity,total_sales,total_orders
4452,Baby Wipes,Baby Care,Morar-Mistry,39,6625.32,23
6405,Baby Food,Baby Care,Kashyap-Reddy,34,8041.34,18
9436,Toothpaste,Personal Care,Naidu PLC,44,3890.92,21
11422,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,27,3433.32,15
14145,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",40,25233.6,21
15314,Cheese,Dairy & Breakfast,Banik-Ratta,32,18523.2,17
18035,Dish Soap,Household Care,Ramesh Inc,48,46509.12,20
26060,Vitamins,Pharmacy,Shah and Sons,41,14060.539999999999,20
33797,Pain Reliever,Pharmacy,Gaba LLC,9,7993.08,5
33955,Frozen Pizza,Instant & Frozen Food,Baral Group,34,6326.72,16
34186,Mangoes,Fruits & Vegetables,Mandal-Kar,61,56464.649999999994,29
34200,Lotion,Personal Care,Munshi-Grewal,44,14071.2,24
36412,Dish Soap,Household Care,Muni-Shankar,48,19088.64,20
39154,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",40,37874.4,20
41853,Curd,Dairy & Breakfast,Handa PLC,32,29134.08,17
51036,Baby Food,Baby Care,Karnik PLC,70,65212.7,34
52729,Cat Food,Pet Care,Saini LLC,30,9480.599999999999,16
53833,Rice,Grocery & Staples,Tella-Master,36,4848.84,18
56589,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",43,22264.11,22
57405,Baby Food,Baby Care,Srinivas PLC,26,15799.419999999998,13
60619,Iced Tea,Cold Drinks & Juices,Bhasin LLC,51,37046.909999999996,23
63769,Lotion,Personal Care,Dalal-Shan,41,36000.87,22
67197,Butter,Dairy & Breakfast,Shetty-Bora,37,20431.4,19
70969,Carrots,Fruits & Vegetables,Mohan Group,25,15792.500000000002,14
77308,Onions,Fruits & Vegetables,Ratta-Sagar,39,8707.53,22
82484,Baby Food,Baby Care,Mallick PLC,37,33850.56,18
89084,Milk,Dairy & Breakfast,"Wali, Virk and Iyer",56,33534.48,28
91670,Dish Soap,Household Care,Barman-Ahluwalia,41,18008.84,19
94225,Toilet Cleaner,Household Care,"Gulati, Ram and Sarkar",54,4163.94,26
107548,Cola,Cold Drinks & Juices,"Bhandari, Bhasin and Palan",35,31206.0,18
112390,Toothpaste,Personal Care,"Kibe, Contractor and Randhawa",50,43899.0,25
114414,Vitamins,Pharmacy,Kara-Golla,36,29954.159999999996,18
118820,Iced Tea,Cold Drinks & Juices,"Warrior, Ravel and Amble",30,369.6,14
120385,Pet Treats,Pet Care,Dubey-Sarin,25,14947.75,14
120532,Wheat Flour,Grocery & Staples,Nazareth Ltd,53,36969.090000000004,26
123983,Cough Syrup,Pharmacy,Kurian-Chhabra,55,43211.85,27
124290,Lotion,Personal Care,Sachdev Group,43,1704.9499999999998,19
131136,Salt,Grocery & Staples,Deshpande-Rama,44,1663.1999999999998,22
131748,Dog Food,Pet Care,"Shroff, Wason and Dugar",49,3986.1499999999996,29
131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",54,15541.740000000002,25
133542,Detergent,Household Care,Edwin-Lall,17,1164.33,9
136533,Eggs,Dairy & Breakfast,"Raghavan, Magar and Shanker",38,31395.980000000003,19
137909,Cough Syrup,Pharmacy,Dalal PLC,29,25064.699999999997,16
140154,Shampoo,Personal Care,Malhotra LLC,39,6676.799999999999,21
