order_id,order_date,customer_id,product_id,category,quantity,total_sales,payment_method,delivery_status,Year,Month,Day
1961864118,2024-07-17 08:34:01,30065862,642612,Pet Care,3,1551.09,Cash,On Time,2024,July,17
1549769649,2024-05-28 13:14:29,9573071,378676,Cold Drinks & Juices,1,881.42,Cash,On Time,2024,May,28
9185164487,2024-09-23 13:07:12,45477575,741341,Dairy & Breakfast,2,1847.68,UPI,On Time,2024,September,23
9644738826,2023-11-24 16:16:56,88067569,561860,Cold Drinks & Juices,1,874.78,Card,On Time,2023,November,24
5427684290,2023-11-20 05:00:39,83298567,602241,Snacks & Munchies,2,1953.1,Cash,On Time,2023,November,20
3265154092,2023-03-18 16:29:51,43367112,681063,Cold Drinks & Juices,1,321.28,UPI,On Time,2023,March,18
4898355547,2023-04-16 18:50:37,13284996,56589,Pharmacy,3,1553.31,Card,On Time,2023,April,16
6568151549,2024-03-31 06:26:48,88866835,500739,Dairy & Breakfast,2,719.96,Cash,On Time,2024,March,31
6006693867,2023-07-13 23:49:36,24496983,490939,Personal Care,1,80.25,Card,On Time,2023,July,13
374186990,2023-08-09 01:17:30,52215833,760828,Pet Care,2,1126.9,Wallet,Slightly Delayed,2023,August,9
4455336265,2023-08-30 19:37:06,43431724,753354,Personal Care,3,1270.68,UPI,On Time,2023,August,30
3539286337,2023-04-25 20:32:24,77559557,684939,Personal Care,1,727.95,Wallet,On Time,2023,April,25
9171116867,2023-10-22 11:15:33,87107263,500739,Dairy & Breakfast,3,1079.94,Card,Slightly Delayed,2023,October,22
5504941865,2024-01-28 02:39:11,76512976,540618,Snacks & Munchies,1,317.05,Wallet,Slightly Delayed,2024,January,28
5868326481,2024-03-15 21:07:07,37556526,53833,Grocery & Staples,3,404.07,Wallet,On Time,2024,March,15
2137046916,2024-02-03 08:50:32,12059049,455755,Household Care,2,88.18,UPI,On Time,2024,February,3
8195544338,2023-04-26 04:03:57,26199489,131937,Instant & Frozen Food,1,287.81,Wallet,Slightly Delayed,2023,April,26
2889700050,2024-04-30 16:22:26,84848018,798639,Dairy & Breakfast,1,211.25,Wallet,On Time,2024,April,30
65827885,2023-07-27 00:13:05,47577193,324809,Dairy & Breakfast,3,1824.0,Cash,On Time,2023,July,27
4656471694,2023-12-09 08:08:08,60728956,679284,Pharmacy,1,877.89,Cash,Slightly Delayed,2023,December,9
6625178717,2023-07-01 04:24:22,62068277,952168,Snacks & Munchies,3,710.8499999999999,Card,Slightly Delayed,2023,July,1
7169557514,2023-03-21 05:27:13,84824280,706112,Pharmacy,2,957.58,Card,Slightly Delayed,2023,March,21
2268306684,2024-05-28 14:59:08,66742602,812607,Fruits & Vegetables,2,833.3,Wallet,On Time,2024,May,28
6905293278,2024-06-16 10:23:23,97259564,799952,Dairy & Breakfast,1,922.64,Cash,Significantly Delayed,2024,June,16
1769493463,2024-06-26 07:13:47,3292927,709916,Household Care,3,101.28,Wallet,On Time,2024,June,26
5003387344,2024-06-23 10:53:47,26592009,67197,Dairy & Breakfast,3,1656.6000000000001,Wallet,On Time,2024,June,23
2064484752,2024-05-07 22:42:49,89995124,937542,Grocery & Staples,3,291.12,Wallet,On Time,2024,May,7
